mc = 56, nc = 56
mc,nc,kc,BW
56,56,10,2959.810352
56,56,20,2883.315675
56,56,30,2976.990709
56,56,40,2994.199507
56,56,50,3048.989463
56,56,60,3021.044914
56,56,70,3036.566019
56,56,80,3093.430589
56,56,90,2899.074868
56,56,100,2750.137453
56,56,110,2985.158338
56,56,120,3016.989960
56,56,130,3047.687575
56,56,140,2966.335383
56,56,150,2991.318345
56,56,160,2953.509729
56,56,170,2985.961604
56,56,180,2970.470408
56,56,190,2944.220135
56,56,200,2986.203405
56,56,210,2983.621098
56,56,220,2993.155988
56,56,230,2973.351416
56,56,240,2976.194717
56,56,250,3003.888514
56,56,260,2976.811686
56,56,270,2984.384872
56,56,280,3024.571055
56,56,290,3014.572110
56,56,300,3033.337712
56,56,310,3064.827341
56,56,320,3104.025356
56,56,330,3541.866072
56,56,340,3526.484410
56,56,350,3568.178496
56,56,360,3980.714426
56,56,370,4197.115053
56,56,380,4167.089495
56,56,390,4473.529871
56,56,400,5153.378644
56,56,410,5318.738716
56,56,420,5323.724455
56,56,430,5312.148603
56,56,440,6013.857925
56,56,450,6557.945792
56,56,460,6450.777920
56,56,470,6360.503617
56,56,480,6213.612872
56,56,490,6091.265585
56,56,500,6096.247101
56,56,510,5977.322052
56,56,520,5859.044738
56,56,530,5736.293286
56,56,540,5638.078353
56,56,550,5581.900309
56,56,560,5455.279643
56,56,570,5471.161705
56,56,580,5441.467446
56,56,590,5414.381847
56,56,600,5406.080372
mc = 224, nc = 56
mc,nc,kc,BW
224,56,10,6264.316424
224,56,20,5920.351910
224,56,30,6108.471137
224,56,40,6211.372395
224,56,50,6119.971307
224,56,60,6145.953927
224,56,70,6217.233184
224,56,80,6190.219881
224,56,90,5689.703092
224,56,100,5686.346312
224,56,110,5846.865792
224,56,120,5923.995174
224,56,130,5876.365070
224,56,140,5801.118786
224,56,150,5812.889229
224,56,160,5923.150854
224,56,170,5942.691978
224,56,180,5976.328662
224,56,190,5982.776895
224,56,200,6311.647501
224,56,210,6383.620744
224,56,220,6384.571721
224,56,230,6406.521723
224,56,240,6380.134664
224,56,250,6351.984386
224,56,260,6191.987447
224,56,270,5791.469338
224,56,280,5635.431331
224,56,290,5464.222142
224,56,300,5388.573840
224,56,310,5374.917702
224,56,320,5374.050707
224,56,330,5372.027937
224,56,340,5358.028339
224,56,350,5306.638128
224,56,360,5351.767969
224,56,370,5368.233857
224,56,380,5387.325123
224,56,390,5377.563685
224,56,400,5264.905571
224,56,410,5347.928978
224,56,420,5385.344715
224,56,430,5359.501532
224,56,440,5354.206164
224,56,450,5361.310249
224,56,460,5350.724396
224,56,470,5362.957146
224,56,480,5363.320103
224,56,490,5372.454014
224,56,500,5335.557014
224,56,510,5320.903394
224,56,520,5327.276266
224,56,530,5347.168775
224,56,540,5341.019765
224,56,550,5337.640206
224,56,560,5344.249030
224,56,570,5355.792611
224,56,580,5320.861285
224,56,590,5309.349753
224,56,600,5316.250330
mc = 224, nc = 224
mc,nc,kc,BW
224,224,10,6007.918538
224,224,20,5861.452210
224,224,30,6099.983252
224,224,40,6160.704231
224,224,50,6207.525392
224,224,60,6187.395623
224,224,70,6201.610253
224,224,80,6160.926955
224,224,90,5681.718687
224,224,100,5808.031842
224,224,110,5946.952631
224,224,120,5958.561390
224,224,130,6003.442244
224,224,140,6040.795464
224,224,150,6055.480690
224,224,160,5943.408139
224,224,170,5956.154612
224,224,180,5975.839631
224,224,190,6265.358353
224,224,200,6225.128853
224,224,210,6303.932567
224,224,220,6332.927724
224,224,230,6402.858141
224,224,240,6200.055416
224,224,250,6181.984629
224,224,260,6265.740731
224,224,270,5861.337498
224,224,280,5590.052926
224,224,290,5393.238791
224,224,300,5369.069720
224,224,310,5316.187389
224,224,320,5342.389778
224,224,330,5360.370571
224,224,340,5356.317349
224,224,350,5372.177698
224,224,360,5323.747605
224,224,370,5141.528144
224,224,380,5276.526899
224,224,390,5333.832705
224,224,400,5337.276876
224,224,410,5321.559617
224,224,420,5324.616012
224,224,430,5308.102395
224,224,440,5310.835839
224,224,450,5299.341661
224,224,460,5287.455171
224,224,470,5316.585793
224,224,480,5308.993538
224,224,490,5325.543526
224,224,500,5337.064196
224,224,510,5321.283999
224,224,520,5297.029949
224,224,530,5310.838032
224,224,540,5300.274035
224,224,550,5329.169397
224,224,560,5325.600826
224,224,570,5323.544759
224,224,580,5315.816709
224,224,590,5309.996445
224,224,600,5321.503954
mc = 896, nc = 224
mc,nc,kc,BW
896,224,10,6186.636202
896,224,20,5941.399417
896,224,30,6078.101729
896,224,40,6107.771261
896,224,50,5991.059531
896,224,60,6090.390821
896,224,70,5077.931035
896,224,80,3258.572128
896,224,90,2948.500646
896,224,100,2997.693880
896,224,110,3012.921238
896,224,120,3019.454446
896,224,130,3010.216787
896,224,140,3023.234891
896,224,150,2971.475234
896,224,160,2981.384900
896,224,170,3022.921446
896,224,180,3029.529678
896,224,190,2965.353236
896,224,200,2961.655635
896,224,210,3051.093513
896,224,220,2958.282985
896,224,230,2960.921514
896,224,240,2965.526475
896,224,250,2946.379463
896,224,260,2944.400777
