mc,nc,kc,BW
56,56,10,2959.810352
56,56,20,2883.315675
56,56,30,2976.990709
56,56,40,2994.199507
56,56,50,3048.989463
56,56,60,3021.044914
56,56,70,3036.566019
56,56,80,3093.430589
56,56,90,2899.074868
56,56,100,2750.137453
56,56,110,2985.158338
56,56,120,3016.989960
56,56,130,3047.687575
56,56,140,2966.335383
56,56,150,2991.318345
56,56,160,2953.509729
56,56,170,2985.961604
56,56,180,2970.470408
56,56,190,2944.220135
56,56,200,2986.203405
56,56,210,2983.621098
56,56,220,2993.155988
56,56,230,2973.351416
56,56,240,2976.194717
56,56,250,3003.888514
56,56,260,2976.811686
56,56,270,2984.384872
56,56,280,3024.571055
56,56,290,3014.572110
56,56,300,3033.337712
56,56,310,3064.827341
56,56,320,3104.025356
56,56,330,3541.866072
56,56,340,3526.484410
56,56,350,3568.178496
56,56,360,3980.714426
56,56,370,4197.115053
56,56,380,4167.089495
56,56,390,4473.529871
56,56,400,5153.378644
56,56,410,5318.738716
56,56,420,5323.724455
56,56,430,5312.148603
56,56,440,6013.857925
56,56,450,6557.945792
56,56,460,6450.777920
56,56,470,6360.503617
56,56,480,6213.612872
56,56,490,6091.265585
56,56,500,6096.247101
56,56,510,5977.322052
56,56,520,5859.044738
56,56,530,5736.293286
56,56,540,5638.078353
56,56,550,5581.900309
56,56,560,5455.279643
56,56,570,5471.161705
56,56,580,5441.467446
56,56,590,5414.381847
56,56,600,5406.080372
