mc,nc,kc,BW
224,224,10,2204.416193
224,224,20,2062.623017
224,224,30,2003.632468
224,224,40,1978.267795
224,224,50,1961.816572
224,224,60,1950.534440
224,224,70,1942.368075
224,224,80,1933.525655
224,224,90,1930.249836
224,224,100,1925.019549
224,224,110,1919.757698
224,224,120,1921.997900
224,224,130,1917.065063
224,224,140,1916.055077
224,224,150,1915.036291
224,224,160,1912.745406
224,224,170,1909.663603
224,224,180,1907.622498
224,224,190,1902.263602
224,224,200,1896.762775
224,224,210,1897.715785
224,224,220,1895.526181
224,224,230,1892.123293
224,224,240,1892.300356
224,224,250,1888.899868
224,224,260,1890.213150
224,224,270,1886.944880
224,224,280,1886.893261
224,224,290,1886.382551
224,224,300,1883.954907
224,224,310,1881.878998
224,224,320,1876.764236
224,224,330,1882.044738
224,224,340,1884.706019
224,224,350,1884.313295
224,224,360,1884.958472
224,224,370,1883.777307
224,224,380,1882.829694
224,224,390,1881.190807
224,224,400,1883.484920
224,224,410,1883.603925
224,224,420,1883.887736
224,224,430,1883.311434
224,224,440,1880.181772
224,224,450,1882.152674
224,224,460,1883.288571
224,224,470,1882.834773
224,224,480,1886.874155
224,224,490,1882.228194
224,224,500,1748.735384
224,224,510,1702.062917
224,224,520,1712.856324
224,224,530,1705.803222
224,224,540,1710.685270
224,224,550,1710.170589
224,224,560,1708.670150
224,224,570,1706.293541
224,224,580,1662.484877
224,224,590,1678.041288
224,224,600,1684.176026
