mc = 56, nc = 56
mc,nc,kc,BW
56,56,10,1293.358379
56,56,20,1134.133955
56,56,30,1062.367174
56,56,40,1051.779936
56,56,50,1045.455031
56,56,60,1035.071124
56,56,70,1034.198006
56,56,80,1039.351312
56,56,90,1032.376500
56,56,100,1033.567220
56,56,110,1034.877494
56,56,120,1032.546938
56,56,130,1032.060543
56,56,140,1030.953110
56,56,150,1030.578703
56,56,160,1030.197694
56,56,170,1029.049275
56,56,180,1038.720880
56,56,190,1087.926568
56,56,200,1167.745527
56,56,210,1273.527646
56,56,220,1397.237020
56,56,230,1531.211779
56,56,240,1674.158517
56,56,250,1820.848582
56,56,260,1911.313867
56,56,270,1911.878378
56,56,280,1910.942457
56,56,290,1909.989483
56,56,300,1910.275928
56,56,310,1909.903685
56,56,320,1910.465378
56,56,330,1909.580921
56,56,340,1910.388394
56,56,350,1909.262183
56,56,360,1909.278951
56,56,370,1906.309694
56,56,380,1908.085553
56,56,390,1908.909101
56,56,400,1909.298930
56,56,410,1909.243872
56,56,420,1908.768529
56,56,430,1907.926438
56,56,440,1906.407466
56,56,450,1907.947362
56,56,460,1907.027891
56,56,470,1906.884059
56,56,480,1906.762185
56,56,490,1907.758218
56,56,500,1907.110826
56,56,510,1908.455103
56,56,520,1907.028285
56,56,530,1906.813989
56,56,540,1907.216718
56,56,550,1907.758513
56,56,560,1906.913910
56,56,570,1902.990806
56,56,580,1904.663126
56,56,590,1902.365712
56,56,600,1905.442821
mc = 224, nc = 56
mc,nc,kc,BW
224,56,10,2185.285547
224,56,20,2042.458139
224,56,30,1974.925247
224,56,40,1957.262234
224,56,50,1946.091338
224,56,60,1942.859459
224,56,70,1939.374363
224,56,80,1934.053942
224,56,90,1931.011904
224,56,100,1927.539015
224,56,110,1918.271340
224,56,120,1922.224737
224,56,130,1921.994603
224,56,140,1919.837058
224,56,150,1919.090788
224,56,160,1917.703770
224,56,170,1916.601764
224,56,180,1916.037531
224,56,190,1915.155862
224,56,200,1914.121542
224,56,210,1913.803210
224,56,220,1913.628767
224,56,230,1912.844469
224,56,240,1911.312084
224,56,250,1911.563474
224,56,260,1911.526796
224,56,270,1910.843873
224,56,280,1905.626755
224,56,290,1910.096314
224,56,300,1909.729949
224,56,310,1909.303083
224,56,320,1909.196903
224,56,330,1907.697656
224,56,340,1908.444996
224,56,350,1908.636561
224,56,360,1908.354200
224,56,370,1907.944489
224,56,380,1906.052004
224,56,390,1906.651644
224,56,400,1907.354020
224,56,410,1906.946694
224,56,420,1906.885601
224,56,430,1906.310708
224,56,440,1905.923066
224,56,450,1904.910499
224,56,460,1904.902075
224,56,470,1905.710364
224,56,480,1904.146376
224,56,490,1905.002179
224,56,500,1903.221345
224,56,510,1904.050470
224,56,520,1904.492010
224,56,530,1904.827858
224,56,540,1903.430819
224,56,550,1905.097250
224,56,560,1904.180787
224,56,570,1905.096609
224,56,580,1903.732927
224,56,590,1902.443495
224,56,600,1902.777561
mc = 224, nc = 224
mc,nc,kc,BW
224,224,10,2204.416193
224,224,20,2062.623017
224,224,30,2003.632468
224,224,40,1978.267795
224,224,50,1961.816572
224,224,60,1950.534440
224,224,70,1942.368075
224,224,80,1933.525655
224,224,90,1930.249836
