n=1, k=1
(1, 1, 1)

n=2, k=2
(1, 1, 1)
(1, 2, 2)

n=3, k=4
(1, 1, 1)
(1, 2, 2)
(2, 1, 3)
(3, 2, 3)

n=4, k=8
(1, 1, 1)
(1, 2, 2)
(2, 1, 3)
(2, 2, 4)
(3, 3, 1)
(3, 4, 3)
(4, 3, 2)
(4, 4, 4)

n=5, k=10
(1, 1, 1)
(1, 2, 4)
(2, 1, 2)
(2, 4, 4)
(3, 1, 3)
(3, 5, 4)
(4, 3, 1)
(4, 4, 5)
(5, 3, 2)
(5, 5, 5)

n=6, k=14
(1, 1, 1)
(1, 5, 2)
(2, 2, 1)
(2, 6, 2)
(3, 3, 1)
(3, 5, 5)
(4, 4, 1)
(4, 6, 5)
(5, 1, 3)
(5, 3, 4)
(5, 5, 6)
(6, 2, 3)
(6, 4, 4)
(6, 6, 6)

n=7, k=17
(1, 1, 1)
(1, 2, 4)
(2, 1, 2)
(2, 2, 5)
(3, 1, 3)
(3, 5, 4)
(4, 3, 1)
(4, 4, 2)
(4, 6, 3)
(4, 7, 4)
(5, 1, 6)
(5, 3, 7)
(6, 2, 6)
(6, 6, 7)
(7, 4, 5)
(7, 5, 6)
(7, 7, 7)

n=8, k=21
(1, 1, 1)
(1, 5, 3)
(1, 6, 4)
(2, 1, 2)
(2, 5, 5)
(2, 6, 6)
(3, 2, 1)
(3, 7, 3)
(4, 2, 2)
(4, 5, 7)
(4, 6, 8)
(5, 3, 1)
(5, 7, 4)
(6, 4, 1)
(6, 8, 3)
(7, 3, 2)
(7, 7, 5)
(7, 8, 6)
(8, 4, 2)
(8, 7, 7)
(8, 8, 8)

