test_type,n,k,result,time_taken,memory_used
increasing_n,200,1021,1021,0.06699872016906738,1912
increasing_n,2000,10600,10600,7.644009351730347,16184
increasing_n,2200,11569,11569,9.251296997070312,18232
increasing_n,2400,12565,12565,11.051178216934204,20536
increasing_n,2600,13808,13808,13.200378894805908,23128
increasing_n,2800,14306,14306,15.121193885803223,23128
increasing_n,3000,15764,15764,17.3357195854187,26040
increasing_n,3200,16766,16766,19.530029773712158,26040
increasing_n,3400,17676,17676,22.582592487335205,29336
increasing_n,3600,19128,19128,25.472370386123657,29336
increasing_n,3800,19949,19949,28.26022505760193,33048
increasing_n,400,2116,2116,0.5499978065490723,3704
increasing_n,4000,20916,20916,30.86100721359253,33048
increasing_n,600,3119,3119,0.9549999237060547,5432
increasing_n,800,4229,4229,1.1977555751800537,6936
increasing_n,1000,5244,5244,1.8967039585113525,8856
increasing_n,1200,6282,6282,2.8243048191070557,10008
increasing_n,1400,7281,7281,3.682086229324341,11288
increasing_n,1600,8338,8338,4.981032609939575,14360
increasing_n,1800,9368,9368,6.159866809844971,16184
no_match,4114,43378,43370,66.41887712478638,33048
no_match,1150,12122,12119,6.047151803970337,10008
no_match,1033,11089,11088,4.282023668289185,8856
no_match,1319,13739,13723,6.602999210357666,11288
no_match,4640,48840,48828,84.5075101852417,37208
no_match,1747,18298,18278,12.885735511779785,14360
no_match,1180,12118,12100,5.39652681350708,10008
no_match,2212,23380,23360,19.109504222869873,18232
no_match,1840,19300,19281,13.608246326446533,16184
no_match,2918,30771,30769,33.458252906799316,26040
no_match,1183,11994,11980,5.603000640869141,10008
no_match,4381,46611,46601,75.24801087379456,37208
no_match,1127,11868,11867,6.846926927566528,10008
no_match,2805,29236,29216,30.113956689834595,23128
no_match,3446,35966,35959,46.31091809272766,29336
no_match,4575,47630,47625,82.58600687980652,37208
no_match,1037,10819,10801,5.234008550643921,8856
no_match,4078,42765,42760,64.29315710067749,33048
no_match,4157,43670,43663,69.91951322555542,37208
no_match,3665,38218,38202,53.77730870246887,33048
small_elem,3114,16329,16329,19.336655616760254,26040
small_elem,1656,8698,8698,5.391999006271362,14360
small_elem,4812,25714,25714,45.33618712425232,41880
small_elem,3272,17454,17454,21.42399835586548,29336
small_elem,4025,20728,20728,31.919878244400024,33048
small_elem,2759,14410,14410,14.973770141601562,23128
small_elem,3806,19864,19864,27.73403286933899,33048
small_elem,2967,15545,15545,17.37801694869995,26040
small_elem,3789,19991,19991,27.424000024795532,33048
small_elem,1061,5657,5657,2.4780001640319824,8856
small_elem,1993,10537,10537,7.554998874664307,16184
small_elem,1995,10504,10504,7.6059980392456055,16184
small_elem,4444,23620,23620,38.00299882888794,37208
small_elem,3826,20038,20038,28.210999250411987,33048
small_elem,4089,21569,21569,32.654999017715454,33048
small_elem,3437,18336,18336,23.36361312866211,29336
small_elem,3078,16429,16429,18.90899920463562,26040
small_elem,1830,9562,9562,6.667999982833862,16184
small_elem,2483,13019,13019,11.681000471115112,20536
small_elem,2339,12350,12350,10.50600266456604,20536
