test_type,n,k,result,time_taken,memory_used
close_gap,4599,24009,24009,8.233996629714966,37208
close_gap,1199,6228,6228,0.8019983768463135,10008
close_gap,4223,14937,14937,6.0400002002716064,37208
close_gap,4025,30958,22006,6.911999940872192,33048
close_gap,3951,29537,21559,6.476007699966431,33048
close_gap,4923,5504,5504,3.9870238304138184,41880
close_gap,1016,7716,5572,0.5109996795654297,8856
close_gap,4363,35975,23826,7.812000036239624,37208
close_gap,3196,25523,17626,4.492000102996826,26040
close_gap,4629,21875,21875,9.495023727416992,37208
close_gap,2284,10778,10778,2.7570016384124756,20536
close_gap,1836,8260,8260,1.433000087738037,16184
close_gap,2682,4002,4002,1.3050003051757812,23128
close_gap,1662,5442,5442,0.9859998226165771,14360
close_gap,1469,3395,3395,0.5699999332427979,12728
close_gap,1598,10613,8968,1.0259966850280762,14360
close_gap,1036,9882,5769,0.440000057220459,8856
close_gap,3144,1582,1582,0.6809999942779541,26040
close_gap,2247,16206,12039,1.925999402999878,18232
close_gap,3875,26172,21183,6.268000602722168,33048
increasing_n,200,1017,1017,0.13400030136108398,1912
increasing_n,2000,2562,2562,0.6090002059936523,16184
increasing_n,2200,13413,12146,1.871999740600586,18232
increasing_n,2400,10181,10181,2.2149996757507324,20536
increasing_n,2600,20047,14401,2.788999557495117,23128
increasing_n,2800,16181,15537,3.3959999084472656,23128
increasing_n,3000,22316,16376,4.2270002365112305,26040
increasing_n,3200,19114,17484,5.246000528335571,26040
increasing_n,3400,8918,8918,4.43899941444397,29336
increasing_n,3600,18454,18454,5.428999900817871,29336
increasing_n,3800,10930,10930,5.592999458312988,33048
increasing_n,400,326,326,0.17199993133544922,3704
increasing_n,4000,16025,16025,5.90999960899353,33048
increasing_n,600,2601,2601,0.21599984169006348,5432
increasing_n,800,2706,2706,0.2070002555847168,6936
increasing_n,1000,8206,5533,0.4030001163482666,8856
increasing_n,1200,5669,5669,0.5759999752044678,10008
increasing_n,1400,230,230,0.06099987030029297,11288
increasing_n,1600,15433,8763,1.010000228881836,14360
increasing_n,1800,2190,2190,0.5069997310638428,16184
