test_type,n,k,result,time_taken,memory_used
fptas_classic,1682,1806534,1805456,23.445549249649048,14360
fptas_classic,4584,6615029,6613623,273.1776361465454,37208
fptas_classic,2726,3548886,3547656,83.84032869338989,23128
fptas_classic,1498,1914515,1913311,19.00700068473816,12728
fptas_classic,3930,7710903,7708942,187.4736135005951,33048
fptas_classic,4572,7031738,7030197,295.6308705806732,37208
fptas_classic,3412,3811282,3810183,140.56767177581787,29336
fptas_classic,4058,7462714,7460913,224.36401057243347,33048
fptas_classic,4986,6267817,6266551,375.3447947502136,41880
fptas_classic,1390,2433804,2432139,18.952999591827393,11288
fptas_classic,1400,2199391,2197886,16.28600001335144,11288
fptas_classic,4176,7086228,7084569,252.82383346557617,37208
fptas_classic,1346,2176562,2174936,17.90299940109253,11288
fptas_classic,2238,2750262,2749058,64.63799953460693,18232
fptas_classic,3130,5811981,5810135,126.15200138092041,26040
fptas_classic,4212,6915707,6914103,284.6814703941345,37208
fptas_classic,3640,7064503,7062573,167.82163000106812,29336
fptas_classic,4942,6390066,6388847,332.3435957431793,41880
fptas_classic,3376,5006455,5005044,138.40653800964355,29336
fptas_classic,4484,6183005,6181675,265.61475229263306,37208
fptas_increasing_n,200,262745,261473,1.690000057220459,1912
fptas_increasing_n,2000,3921940,3919995,30.69399929046631,16184
fptas_increasing_n,2200,2472379,2471254,45.05000042915344,18232
fptas_increasing_n,2400,4766187,4764266,52.54499816894531,20536
fptas_increasing_n,2600,3392869,3391598,66.91150689125061,23128
fptas_increasing_n,2800,3503075,3501830,82.9423770904541,23128
fptas_increasing_n,3000,5528922,5527119,94.47968554496765,26040
fptas_increasing_n,3200,6335709,6333747,105.43194055557251,26040
fptas_increasing_n,3400,3978466,3977329,126.1480360031128,29336
fptas_increasing_n,3600,3808644,3807598,148.4019582271576,29336
fptas_increasing_n,3800,6782472,6780755,163.82366132736206,33048
fptas_increasing_n,400,459310,458165,1.7509911060333252,3704
fptas_increasing_n,4000,7191620,7189853,181.2339985370636,33048
fptas_increasing_n,600,1123537,1121676,2.377998113632202,5432
fptas_increasing_n,800,1189773,1188373,3.3799986839294434,6936
fptas_increasing_n,1000,1569648,1568133,5.967995643615723,8856
fptas_increasing_n,1200,1653397,1652047,10.153997898101807,10008
fptas_increasing_n,1400,2276465,2274830,13.557997703552246,11288
fptas_increasing_n,1600,1857670,1856536,21.238999366760254,14360
fptas_increasing_n,1800,1963761,1962719,29.988998413085938,16184
