test_type,n,k,result,time_taken,memory_used
fptas_classic,408,29410,29359,0.7039988040924072,3704
fptas_classic,266,12951,12944,0.2499997615814209,2200
fptas_classic,412,10272,10270,0.42009949684143066,3704
fptas_classic,306,12423,12414,0.29999852180480957,2520
fptas_classic,204,15374,15314,0.17400050163269043,1912
fptas_classic,456,33404,33356,0.8790009021759033,4216
fptas_classic,194,5182,5163,0.09899783134460449,1656
fptas_classic,246,10958,10958,0.20099878311157227,2200
fptas_classic,180,12956,12898,0.13199996948242188,1656
fptas_classic,322,7583,7569,0.24399995803833008,2872
fptas_classic,336,29499,29434,0.5009996891021729,2872
fptas_classic,154,5511,5469,0.07300019264221191,1432
fptas_classic,186,15749,15679,0.1509997844696045,1656
fptas_classic,500,32267,32247,0.9930002689361572,4216
fptas_classic,104,4713,4682,0.04099869728088379,920
fptas_classic,442,38065,37980,0.8960003852844238,3704
fptas_classic,400,14326,14308,0.48799896240234375,3704
fptas_classic,390,36511,36477,0.7000000476837158,3256
fptas_classic,412,24802,24775,0.702000617980957,3704
fptas_classic,270,12714,12708,0.26599955558776855,2520
fptas_increasing_n,200,2124,2124,0.05700039863586426,1912
fptas_increasing_n,2000,181948,181890,20.44992995262146,16184
fptas_increasing_n,2200,138907,138890,22.14189052581787,18232
fptas_increasing_n,2400,64862,64856,16.989883184432983,20536
fptas_increasing_n,2600,122366,122349,26.52701187133789,23128
fptas_increasing_n,2800,221411,221377,40.15738368034363,23128
fptas_increasing_n,3000,194833,194807,44.03291344642639,26040
fptas_increasing_n,3200,117723,117716,37.29173159599304,26040
fptas_increasing_n,3400,227600,227542,57.78477740287781,29336
fptas_increasing_n,3600,326826,326759,76.73304271697998,29336
fptas_increasing_n,3800,128763,128760,54.47394800186157,33048
fptas_increasing_n,400,15353,15340,1.0031659603118896,3704
fptas_increasing_n,4000,115490,115489,54.40031337738037,33048
fptas_increasing_n,600,21039,21038,1.600956916809082,5432
fptas_increasing_n,800,65781,65747,3.323619842529297,6936
fptas_increasing_n,1000,15884,15879,2.1251072883605957,8856
fptas_increasing_n,1200,84480,84446,7.015973091125488,10008
fptas_increasing_n,1400,81007,80989,8.91008973121643,11288
fptas_increasing_n,1600,72027,72008,10.514878988265991,14360
fptas_increasing_n,1800,21936,21936,5.880141019821167,16184
