test_type,n,k,result,time_taken,memory_used
greedy_classic,3795,11472,5737,0.0,24
greedy_classic,2951,14162,7082,0.0,24
greedy_classic,2869,16238,8120,0.0,24
greedy_classic,2284,15504,7753,0.0,24
greedy_classic,3459,16292,8147,0.0,24
greedy_classic,3926,16064,8033,0.0,24
greedy_classic,3791,12024,6013,0.0,24
greedy_classic,2983,19962,9982,0.0,24
greedy_classic,3983,13312,6657,0.0,24
greedy_classic,2432,10716,5359,0.0,24
greedy_classic,1952,19918,9960,0.0,24
greedy_classic,4436,17638,8820,0.0,24
greedy_classic,1630,11814,5908,0.0,24
greedy_classic,4048,16346,8174,0.0,24
greedy_classic,1045,13542,6772,0.0,24
greedy_classic,3609,15238,7620,0.0,24
greedy_classic,4690,19790,9896,0.0,24
greedy_classic,1190,16876,8439,0.0010013580322265625,24
greedy_classic,1550,19502,9752,0.0,24
greedy_classic,4022,18142,9072,0.0,24
greedy_increasing_n,200,17482,8742,0.0,24
greedy_increasing_n,2000,14636,7319,0.0,24
greedy_increasing_n,2200,15876,7939,0.0,24
greedy_increasing_n,2400,17658,8830,0.0,24
greedy_increasing_n,2600,12974,6488,0.0,24
greedy_increasing_n,2800,13958,6980,0.00099945068359375,24
greedy_increasing_n,3000,10872,5437,0.0,24
greedy_increasing_n,3200,13468,6735,0.0,24
greedy_increasing_n,3400,14502,7252,0.0,24
greedy_increasing_n,3600,16628,8315,0.0,24
greedy_increasing_n,3800,17120,8561,0.0,24
greedy_increasing_n,400,11202,5602,0.0,24
greedy_increasing_n,4000,10064,5033,0.0,24
greedy_increasing_n,600,12854,6428,0.0,24
greedy_increasing_n,800,19958,9980,0.0,24
greedy_increasing_n,1000,10942,5472,0.0,24
greedy_increasing_n,1200,16950,8476,0.00099945068359375,24
greedy_increasing_n,1400,14828,7415,0.0,24
greedy_increasing_n,1600,18918,9460,0.0,24
greedy_increasing_n,1800,16450,8226,0.0,24
